[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 📈 Evaluated. Results: {'test_loss': 13.004241943359375, 'test_acc': 0.2326388955116272, 'test_precision': 0.2527140974998474, 'test_recall': 0.09198597073554993, 'test_f1': 0.09287333488464355}
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 📈 Evaluated. Results: {'test_loss': 13.004241943359375, 'test_acc': 0.2326388955116272, 'test_precision': 0.2527140974998474, 'test_recall': 0.09198597073554993, 'test_f1': 0.09287333488464355}
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🎉 Round 67 of 100 finished.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🎉 Round 67 of 100 finished.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | WARNING ] Force clearing aggregator state to start new round.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:15 | 0.0.0.0:33489 | INFO ] ✅ [FORCE] Local model added. (1/2)
[ 2026-02-15 07:26:15 | 0.0.0.0:46073 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:26:15 | 0.0.0.0:46073 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:16 | 0.0.0.0:46073 | INFO ] 📈 Evaluated. Results: {'test_loss': 15.027952194213867, 'test_acc': 0.8540772795677185, 'test_precision': 0.3954122066497803, 'test_recall': 0.4643535017967224, 'test_f1': 0.4111921489238739}
[ 2026-02-15 07:26:16 | 0.0.0.0:46073 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:16 | 0.0.0.0:46073 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:26:16 | 0.0.0.0:46073 | INFO ] 🎉 Round 91 of 100 finished.
[ 2026-02-15 07:26:16 | 0.0.0.0:46073 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 42
[ 2026-02-15 07:26:16 | 0.0.0.0:46073 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:16 | 0.0.0.0:46073 | INFO ] ♻️ Proactively processing 1 early models.
[ 2026-02-15 07:26:16 | 0.0.0.0:46073 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:16 | 0.0.0.0:46073 | INFO ] 🗣️ Gossiping aggregated model.
